Survived,Pclass,Gender,Age,Fare,Cabin,BoardPort,Age_Group,WithFamily,Family_Size,Family_Group,Average_Fare,Fare_Group,name_length,nLength_group,title,Minor
0,3,male,22.0,7.25,G,S,Young_Adult,1,2,small,3.625,Very_low,23,medium,Mr,0
1,1,female,38.0,71.2833,C,C,adult,1,2,small,35.64165,high,51,long,Mrs,0
1,3,female,26.0,7.925,G,S,Young_Adult,0,1,loner,7.925,low,22,medium,Miss,0
1,1,female,35.0,53.1,C,S,Young_Adult,1,2,small,26.55,high,44,good,Mrs,0
0,3,male,35.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,24,medium,Mr,0
0,3,male,28.0,8.4583,G,Q,Young_Adult,0,1,loner,8.4583,low,16,short,Mr,0
0,1,male,54.0,51.8625,E,S,middle_aged,0,1,loner,51.8625,very_high,23,medium,Mr,0
0,3,male,2.0,21.075,F,S,toddler,1,5,large,4.215,low,30,medium,Master,1
1,3,female,27.0,11.1333,G,S,Young_Adult,1,3,small,3.7111,Very_low,49,long,Mrs,0
1,2,female,14.0,30.0708,T,C,teenager,1,2,small,15.0354,mid,35,medium,Mrs,1
1,3,female,4.0,16.7,G,S,toddler,1,3,small,5.566666666666666,low,31,medium,Miss,1
1,1,female,58.0,26.55,C,S,senior_citizen,0,1,loner,26.55,high,24,medium,Miss,0
0,3,male,20.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,30,medium,Mr,0
0,3,male,39.0,31.275,T,S,adult,1,7,large,4.4678571428571425,low,27,medium,Mr,0
0,3,female,14.0,7.8542,G,S,teenager,0,1,loner,7.8542,low,36,good,Miss,1
1,2,female,55.0,16.0,F,S,middle_aged,0,1,loner,16.0,mid,32,medium,Mrs,0
0,3,male,2.0,29.125,T,Q,toddler,1,6,large,4.854166666666667,low,20,short,Master,1
1,2,male,50.0,13.0,G,S,middle_aged,0,1,loner,13.0,mid,28,medium,Mr,0
0,3,female,31.0,18.0,F,S,Young_Adult,1,2,small,9.0,low,55,long,Mrs,0
1,3,female,0.92,7.225,G,C,infant,0,1,loner,7.225,low,23,medium,Mrs,1
0,2,male,35.0,26.0,F,S,Young_Adult,0,1,loner,26.0,high,20,short,Mr,0
1,2,male,34.0,13.0,D,S,Young_Adult,0,1,loner,13.0,mid,21,medium,Mr,0
1,3,female,15.0,8.0292,G,Q,teenager,0,1,loner,8.0292,low,27,medium,Miss,1
1,1,male,28.0,35.5,A,S,Young_Adult,0,1,loner,35.5,high,28,medium,Mr,0
0,3,female,8.0,21.075,F,S,child,1,5,large,4.215,low,29,medium,Miss,1
1,3,female,38.0,31.3875,T,S,adult,1,7,large,4.483928571428572,low,57,long,Mrs,0
0,3,male,36.0,7.225,G,C,adult,0,1,loner,7.225,low,23,medium,Mr,0
0,1,male,19.0,263.0,C,S,Young_Adult,1,6,large,43.833333333333336,high,30,medium,Mr,0
1,3,female,26.0,7.8792,G,Q,Young_Adult,0,1,loner,7.8792,low,29,medium,Miss,0
0,3,male,36.0,7.8958,G,S,adult,0,1,loner,7.8958,low,19,short,Mr,0
0,1,male,40.0,27.7208,T,C,adult,0,1,loner,27.7208,high,24,medium,rare,0
1,1,female,31.0,146.5208,B,C,Young_Adult,1,2,small,73.2604,very_high,46,long,Mrs,0
1,3,female,65.0,7.75,G,Q,senior_citizen,0,1,loner,7.75,low,24,medium,Miss,0
0,2,male,66.0,10.5,G,S,old,0,1,loner,10.5,mid,21,medium,Mr,0
0,1,male,28.0,82.1708,C,C,Young_Adult,1,2,small,41.0854,high,23,medium,Mr,0
0,1,male,42.0,52.0,D,S,adult,1,2,small,26.0,high,30,medium,Mr,0
1,3,male,65.0,7.2292,G,C,senior_citizen,0,1,loner,7.2292,low,16,short,Mr,0
0,3,male,21.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,24,medium,Mr,0
0,3,female,18.0,18.0,F,S,teenager,1,3,small,6.0,low,34,medium,Miss,0
1,3,female,14.0,11.2417,G,C,teenager,1,2,small,5.62085,low,27,medium,Miss,1
0,3,female,40.0,9.475,G,S,adult,1,2,small,4.7375,low,46,long,Mrs,0
0,2,female,27.0,21.0,F,S,Young_Adult,1,2,small,10.5,mid,56,long,Mrs,0
0,3,male,47.0,7.8958,G,C,middle_aged,0,1,loner,7.8958,low,19,short,Mr,0
1,2,female,3.0,41.5792,A,C,toddler,1,4,small,10.3948,mid,40,good,Miss,1
1,3,female,19.0,7.8792,G,Q,Young_Adult,0,1,loner,7.8792,low,29,medium,Miss,0
0,3,male,22.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,24,medium,Mr,0
0,3,male,26.0,15.5,F,Q,Young_Adult,1,2,small,7.75,low,17,short,Mr,0
1,3,female,4.0,7.75,G,Q,toddler,0,1,loner,7.75,low,25,medium,Miss,1
0,3,male,39.0,21.6792,F,C,adult,1,3,small,7.226400000000001,low,19,short,Mr,0
0,3,female,18.0,17.8,F,S,teenager,1,2,small,8.9,low,45,good,Mrs,0
0,3,male,7.0,39.6875,A,S,child,1,6,large,6.614583333333333,low,26,medium,Master,1
0,3,male,21.0,7.8,G,S,Young_Adult,0,1,loner,7.8,low,28,medium,Mr,0
1,1,female,49.0,76.7292,D,C,middle_aged,1,2,small,38.3646,high,40,good,Mrs,0
1,2,female,29.0,26.0,F,S,Young_Adult,1,2,small,13.0,mid,50,long,Mrs,0
0,1,male,65.0,61.9792,B,C,senior_citizen,1,2,small,30.9896,high,30,medium,Mr,0
1,1,male,21.0,35.5,C,S,Young_Adult,0,1,loner,35.5,high,17,short,Mr,0
1,2,female,21.0,10.5,G,S,Young_Adult,0,1,loner,10.5,mid,17,short,Miss,0
0,3,male,28.5,7.2292,G,C,Young_Adult,0,1,loner,7.2292,low,19,short,Mr,0
1,2,female,5.0,27.75,T,S,child,1,4,small,6.9375,low,28,medium,Miss,1
0,3,male,11.0,46.9,E,S,child,1,8,large,5.8625,low,34,medium,Master,1
0,3,male,22.0,7.2292,G,C,Young_Adult,0,1,loner,7.2292,low,21,medium,Mr,0
1,1,female,38.0,80.0,B,C,adult,0,1,loner,80.0,very_high,19,short,Miss,0
0,1,male,45.0,83.475,C,S,adult,1,2,small,41.7375,high,27,medium,Mr,0
0,3,male,4.0,27.9,T,S,toddler,1,6,large,4.6499999999999995,low,21,medium,Master,1
0,1,male,55.0,27.7208,T,C,middle_aged,0,1,loner,27.7208,high,21,medium,Mr,0
1,3,male,33.0,15.2458,G,C,Young_Adult,1,3,small,5.081933333333333,low,24,medium,Master,0
1,2,female,29.0,10.5,F,S,Young_Adult,0,1,loner,10.5,mid,28,medium,Mrs,0
0,3,male,19.0,8.1583,G,S,Young_Adult,0,1,loner,8.1583,low,24,medium,Mr,0
1,3,female,17.0,7.925,G,S,teenager,1,7,large,1.1321428571428571,Very_low,31,medium,Miss,0
0,3,male,26.0,8.6625,G,S,Young_Adult,1,3,small,2.8874999999999997,Very_low,17,short,Mr,0
0,2,male,32.0,10.5,G,S,Young_Adult,0,1,loner,10.5,mid,26,medium,Mr,0
0,3,female,16.0,46.9,E,S,teenager,1,8,large,5.8625,low,26,medium,Miss,1
0,2,male,21.0,73.5,D,S,Young_Adult,0,1,loner,73.5,very_high,20,short,Mr,0
0,3,male,26.0,14.4542,G,C,Young_Adult,1,2,small,7.2271,low,27,medium,Mr,0
1,3,male,32.0,56.4958,D,S,Young_Adult,0,1,loner,56.4958,very_high,13,short,Mr,0
0,3,male,25.0,7.65,F,S,Young_Adult,0,1,loner,7.65,low,23,medium,Mr,0
0,3,male,0.75,7.8958,G,S,infant,0,1,loner,7.8958,low,17,short,Mr,1
0,3,male,24.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,24,medium,Mr,0
1,2,male,0.83,29.0,T,S,infant,1,3,small,9.666666666666666,low,29,medium,Master,1
1,3,female,30.0,12.475,G,S,Young_Adult,0,1,loner,12.475,mid,24,medium,Miss,0
0,3,male,22.0,9.0,G,S,Young_Adult,0,1,loner,9.0,low,20,short,Mr,0
1,3,male,29.0,9.5,G,S,Young_Adult,0,1,loner,9.5,low,27,medium,Mr,0
1,3,female,39.0,7.7875,G,Q,adult,0,1,loner,7.7875,low,30,medium,Miss,0
0,1,male,28.0,47.1,E,S,Young_Adult,0,1,loner,47.1,very_high,23,medium,Mr,0
1,2,female,17.0,10.5,G,S,teenager,0,1,loner,10.5,mid,19,short,Miss,0
1,3,female,33.0,15.85,F,S,Young_Adult,1,4,small,3.9625,Very_low,55,long,Mrs,0
0,3,male,16.0,34.375,T,S,teenager,1,5,large,6.875,low,22,medium,Mr,1
0,3,male,20.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,29,medium,Mr,0
1,1,female,23.0,263.0,C,S,Young_Adult,1,6,large,43.833333333333336,high,26,medium,Miss,0
0,3,male,24.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,22,medium,Mr,0
0,3,male,29.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,20,short,Mr,0
0,3,male,20.0,7.8542,G,S,Young_Adult,0,1,loner,7.8542,low,26,medium,Mr,0
0,1,male,46.0,61.175,E,S,middle_aged,1,2,small,30.5875,high,27,medium,Mr,0
0,3,male,26.0,20.575,F,S,Young_Adult,1,4,small,5.14375,low,23,medium,Mr,0
0,3,male,59.0,7.25,G,S,senior_citizen,0,1,loner,7.25,low,17,short,Mr,0
0,3,male,40.0,8.05,G,S,adult,0,1,loner,8.05,low,27,medium,Mr,0
0,1,male,71.0,34.6542,A,C,old,0,1,loner,34.6542,high,25,medium,Mr,0
1,1,male,23.0,63.3583,D,C,Young_Adult,1,2,small,31.67915,high,31,medium,Mr,0
1,2,female,34.0,23.0,F,S,Young_Adult,1,2,small,11.5,mid,36,good,Mrs,0
0,2,male,34.0,26.0,F,S,Young_Adult,1,2,small,13.0,mid,17,short,Mr,0
0,3,female,28.0,7.8958,G,S,Young_Adult,0,1,loner,7.8958,low,23,medium,Miss,0
0,3,male,14.0,7.8958,G,S,teenager,0,1,loner,7.8958,low,32,medium,Mr,1
0,1,male,21.0,77.2875,D,S,Young_Adult,1,2,small,38.64375,high,25,medium,Mr,0
0,3,male,33.0,8.6542,G,S,Young_Adult,0,1,loner,8.6542,low,26,medium,Mr,0
0,3,male,37.0,7.925,G,S,adult,1,3,small,2.6416666666666666,Very_low,30,medium,Mr,0
0,3,male,28.0,7.8958,G,S,Young_Adult,0,1,loner,7.8958,low,21,medium,Mr,0
1,3,female,21.0,7.65,G,S,Young_Adult,0,1,loner,7.65,low,32,medium,Miss,0
1,3,male,29.0,7.775,G,S,Young_Adult,0,1,loner,7.775,low,22,medium,Mr,0
0,3,male,38.0,7.8958,G,S,adult,0,1,loner,7.8958,low,15,short,Mr,0
1,3,female,30.0,24.15,F,Q,Young_Adult,1,2,small,12.075,mid,19,short,Miss,0
0,1,male,47.0,52.0,C,S,middle_aged,0,1,loner,52.0,very_high,30,medium,Mr,0
0,3,female,14.5,14.4542,G,C,teenager,1,2,small,7.2271,low,20,short,Miss,1
0,3,male,22.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,22,medium,Mr,0
0,3,female,20.0,9.825,G,S,Young_Adult,1,2,small,4.9125,low,23,medium,Miss,0
0,3,female,17.0,14.4583,G,C,teenager,0,1,loner,14.4583,mid,21,medium,Miss,0
0,3,male,21.0,7.925,G,S,Young_Adult,0,1,loner,7.925,low,21,medium,Mr,0
0,3,male,70.5,7.75,G,Q,old,0,1,loner,7.75,low,20,short,Mr,0
0,2,male,29.0,21.0,F,S,Young_Adult,1,2,small,10.5,mid,31,medium,Mr,0
0,1,male,24.0,247.5208,B,C,Young_Adult,1,2,small,123.7604,very_high,24,medium,Mr,0
0,3,female,2.0,31.275,T,S,toddler,1,7,large,4.4678571428571425,low,33,medium,Miss,1
0,2,male,21.0,73.5,D,S,Young_Adult,1,3,small,24.5,high,27,medium,Mr,0
0,3,male,0.75,8.05,G,S,infant,0,1,loner,8.05,low,26,medium,Mr,1
0,2,male,32.5,30.0708,T,C,Young_Adult,1,2,small,15.0354,mid,20,short,Mr,0
1,2,female,32.5,13.0,E,S,Young_Adult,0,1,loner,13.0,mid,19,short,Miss,0
0,1,male,54.0,77.2875,D,S,middle_aged,1,2,small,38.64375,high,27,medium,Mr,0
1,3,male,12.0,11.2417,G,C,child,1,2,small,5.62085,low,28,medium,Master,1
0,3,male,36.0,7.75,G,Q,adult,0,1,loner,7.75,low,19,short,Mr,0
1,3,male,24.0,7.1417,G,S,Young_Adult,0,1,loner,7.1417,low,25,medium,Mr,0
1,3,female,21.0,22.3583,F,C,Young_Adult,1,3,small,7.452766666666666,low,17,short,Miss,0
0,3,male,45.0,6.975,G,S,adult,0,1,loner,6.975,low,18,short,Mr,0
0,3,male,33.0,7.8958,G,C,Young_Adult,0,1,loner,7.8958,low,20,short,Mr,0
0,3,male,20.0,7.05,G,S,Young_Adult,0,1,loner,7.05,low,30,medium,Mr,0
0,3,female,47.0,14.5,G,S,middle_aged,1,2,small,7.25,low,46,long,Mrs,0
1,2,female,29.0,26.0,F,S,Young_Adult,1,2,small,13.0,mid,45,good,Mrs,0
0,2,male,25.0,13.0,G,S,Young_Adult,0,1,loner,13.0,mid,30,medium,Mr,0
0,2,male,23.0,15.0458,G,C,Young_Adult,0,1,loner,15.0458,mid,18,short,Mr,0
1,1,female,19.0,26.2833,D,S,Young_Adult,1,3,small,8.7611,low,28,medium,Miss,0
0,1,male,37.0,53.1,C,S,adult,1,2,small,26.55,high,27,medium,Mr,0
0,3,male,16.0,9.2167,G,S,teenager,0,1,loner,9.2167,low,19,short,Mr,1
0,1,male,24.0,79.2,B,C,Young_Adult,0,1,loner,79.2,very_high,18,short,Mr,0
0,3,female,27.0,15.2458,G,C,Young_Adult,1,3,small,5.081933333333333,low,29,medium,Mrs,0
1,3,female,22.0,7.75,G,S,Young_Adult,0,1,loner,7.75,low,24,medium,Miss,0
1,3,female,24.0,15.85,F,S,Young_Adult,1,2,small,7.925,low,52,long,Mrs,0
0,3,male,19.0,6.75,G,Q,Young_Adult,0,1,loner,6.75,low,19,short,Mr,0
0,2,male,18.0,11.5,G,S,teenager,0,1,loner,11.5,mid,26,medium,Mr,0
0,2,male,19.0,36.75,T,S,Young_Adult,1,3,small,12.25,mid,28,medium,Mr,0
1,3,male,27.0,7.7958,G,S,Young_Adult,0,1,loner,7.7958,low,44,good,Mr,0
0,3,female,9.0,34.375,T,S,child,1,5,large,6.875,low,32,medium,Miss,1
0,2,male,36.5,26.0,F,S,adult,1,3,small,8.666666666666666,low,40,good,Mr,0
0,2,male,42.0,13.0,G,S,adult,0,1,loner,13.0,mid,33,medium,rare,0
0,2,male,51.0,12.525,G,S,middle_aged,0,1,loner,12.525,mid,26,medium,rare,0
1,1,female,22.0,66.6,C,S,Young_Adult,1,2,small,33.3,high,33,medium,Mrs,0
0,3,male,55.5,8.05,G,S,senior_citizen,0,1,loner,8.05,low,16,short,Mr,0
0,3,male,40.5,14.5,G,S,adult,1,3,small,4.833333333333333,low,31,medium,Mr,0
0,3,male,40.0,7.3125,G,S,adult,0,1,loner,7.3125,low,21,medium,Mr,0
0,1,male,51.0,61.3792,D,C,middle_aged,1,2,small,30.6896,high,27,medium,Mr,0
1,3,female,16.0,7.7333,G,Q,teenager,0,1,loner,7.7333,low,32,medium,Miss,1
0,3,male,30.0,8.05,G,S,Young_Adult,0,1,loner,8.05,low,15,short,Mr,0
0,3,male,32.0,8.6625,G,S,Young_Adult,0,1,loner,8.6625,low,19,short,Mr,0
0,3,male,2.0,69.55,D,S,toddler,1,11,large,6.322727272727272,low,26,medium,Master,1
0,3,male,44.0,16.1,F,S,adult,1,2,small,8.05,low,24,medium,Mr,0
1,2,female,40.0,15.75,F,S,adult,0,1,loner,15.75,mid,50,long,Mrs,0
0,3,male,26.0,7.775,G,S,Young_Adult,0,1,loner,7.775,low,26,medium,Mr,0
0,3,male,17.0,8.6625,G,S,teenager,0,1,loner,8.6625,low,15,short,Mr,0
0,3,male,1.0,39.6875,A,S,infant,1,6,large,6.614583333333333,low,28,medium,Master,1
1,3,male,9.0,20.525,F,S,child,1,3,small,6.841666666666666,low,47,long,Master,1
1,1,female,20.0,55.0,E,S,Young_Adult,1,2,small,27.5,high,38,good,Mrs,0
0,3,female,45.0,27.9,T,S,adult,1,6,large,4.6499999999999995,low,47,long,Mrs,0
0,1,male,52.0,25.925,F,S,middle_aged,0,1,loner,25.925,high,19,short,Mr,0
0,3,male,28.0,56.4958,D,S,Young_Adult,0,1,loner,56.4958,very_high,13,short,Mr,0
0,1,male,61.0,33.5,B,S,senior_citizen,0,1,loner,33.5,high,25,medium,Mr,0
0,3,male,4.0,29.125,T,Q,toddler,1,6,large,4.854166666666667,low,20,short,Master,1
1,3,female,1.0,11.1333,G,S,infant,1,3,small,3.7111,Very_low,28,medium,Miss,1
0,3,male,21.0,7.925,G,S,Young_Adult,0,1,loner,7.925,low,25,medium,Mr,0
0,1,male,56.0,30.6958,A,C,senior_citizen,0,1,loner,30.6958,high,23,medium,Mr,0
0,3,male,18.0,7.8542,G,S,teenager,1,3,small,2.6180666666666665,Very_low,22,medium,Mr,0
0,3,male,35.0,25.4667,F,S,Young_Adult,1,5,large,5.0933399999999995,low,29,medium,Master,0
0,1,female,50.0,28.7125,C,C,middle_aged,0,1,loner,28.7125,high,26,medium,Miss,0
0,2,male,30.0,13.0,G,S,Young_Adult,0,1,loner,13.0,mid,18,short,Mr,0
0,3,male,36.0,0.0,G,S,adult,0,1,loner,0.0,Very_low,19,short,Mr,0
0,3,female,42.0,69.55,D,S,adult,1,11,large,6.322727272727272,low,28,medium,Miss,0
0,2,male,38.0,15.05,G,C,adult,0,1,loner,15.05,mid,16,short,Mr,0
0,3,male,9.0,31.3875,T,S,child,1,7,large,4.483928571428572,low,37,good,Master,1
1,2,male,1.0,39.0,F,S,infant,1,4,small,9.75,low,25,medium,Master,1
1,3,female,4.0,22.025,F,S,toddler,1,3,small,7.341666666666666,low,35,medium,Miss,1
0,1,male,36.0,50.0,A,S,adult,0,1,loner,50.0,very_high,21,medium,Mr,0
1,3,female,20.0,15.5,F,Q,Young_Adult,1,2,small,7.75,low,47,long,Mrs,0
1,1,male,45.0,26.55,T,S,adult,0,1,loner,26.55,high,45,good,Mr,0
0,3,male,40.0,15.5,F,Q,adult,1,3,small,5.166666666666667,low,16,short,Mr,0
1,2,female,32.0,13.0,G,S,Young_Adult,0,1,loner,13.0,mid,19,short,Mrs,0
0,2,male,19.0,13.0,G,S,Young_Adult,0,1,loner,13.0,mid,21,medium,Mr,0
1,3,female,19.0,7.8542,G,S,Young_Adult,1,2,small,3.9271,Very_low,47,long,Miss,0
1,2,male,3.0,26.0,F,S,toddler,1,3,small,8.666666666666666,low,26,medium,Master,1
1,1,female,44.0,27.7208,B,C,adult,0,1,loner,27.7208,high,41,good,Mrs,0
1,1,female,58.0,146.5208,B,C,senior_citizen,0,1,loner,146.5208,very_high,20,short,Miss,0
0,3,male,15.0,7.75,G,Q,teenager,0,1,loner,7.75,low,19,short,Mr,1
0,3,male,42.0,8.4042,G,S,adult,1,2,small,4.2021,low,32,medium,Mr,0
1,3,female,22.0,7.75,G,Q,Young_Adult,0,1,loner,7.75,low,32,medium,Miss,0
0,2,female,24.0,13.0,G,S,Young_Adult,0,1,loner,13.0,mid,38,good,Miss,0
0,3,male,28.0,9.5,G,S,Young_Adult,0,1,loner,9.5,low,30,medium,Mr,0
0,3,male,21.0,69.55,D,S,Young_Adult,1,11,large,6.322727272727272,low,19,short,Mr,0
0,3,male,34.0,6.4958,G,S,Young_Adult,0,1,loner,6.4958,low,26,medium,Mr,0
0,3,male,45.5,7.225,G,C,middle_aged,0,1,loner,7.225,low,20,short,Mr,0
1,3,male,18.0,8.05,G,S,teenager,0,1,loner,8.05,low,24,medium,Mr,0
0,3,female,2.0,10.4625,G,S,toddler,1,2,small,5.23125,low,26,medium,Miss,1
0,3,male,32.0,15.85,F,S,Young_Adult,1,2,small,7.925,low,26,medium,Mr,0
1,3,male,26.0,18.7875,F,C,Young_Adult,0,1,loner,18.7875,mid,27,medium,Mr,0
1,3,female,16.0,7.75,G,Q,teenager,0,1,loner,7.75,low,25,medium,Miss,1
1,1,male,40.0,31.0,A,C,adult,0,1,loner,31.0,high,16,short,Mr,0
0,3,male,24.0,7.05,G,S,Young_Adult,0,1,loner,7.05,low,14,short,Mr,0
1,2,female,35.0,21.0,F,S,Young_Adult,0,1,loner,21.0,high,26,medium,Miss,0
0,3,male,22.0,7.25,G,S,Young_Adult,0,1,loner,7.25,low,22,medium,Mr,0
0,2,male,30.0,13.0,G,S,Young_Adult,0,1,loner,13.0,mid,27,medium,Mr,0
0,3,male,42.0,7.75,G,Q,adult,1,2,small,3.875,Very_low,19,short,Mr,0
1,1,female,31.0,113.275,D,C,Young_Adult,1,2,small,56.6375,very_high,23,medium,Miss,0
1,3,female,27.0,7.925,G,S,Young_Adult,0,1,loner,7.925,low,22,medium,Miss,0
0,2,male,42.0,27.0,T,S,adult,1,2,small,13.5,mid,28,medium,Mr,0
1,1,female,32.0,76.2917,D,C,Young_Adult,0,1,loner,76.2917,very_high,21,medium,Miss,0
